artist_id,name,popularity,followers
13UwRaADQI0yTqjPBDkk6d,J-Shin (Featuring LaTocha Scott of Xscape),0,253
2LmsYeN3MzzZ9zhuZhNyqO,A*Teens,0,10
5Q25oFANw7zA3kD2DPaJ8D,The 2000s Karaoke Band,0,26
7u7ORV6MVjId1jfJwMdakL,2000s Karaoke Band,0,27
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0,2542450
0sghswo09Y90G2q0eha4SW,Joe Osborne,0,23
14qvHyl1HApvsMrtxXljMM,Archuleta Maroon,0,21
1b9wvEcR1vuxoVu6isElSd,Anand Clique,0,109
5lfsewMdyn5f9okNcLUtYM,Xander Phillips,0,79
0o9FGMZT1bOTSGYFb7BoWz,Drop That Thun Thun,0,250
4ZjbEr6o2yroEZjeBqw31o,We Were Us,0,7
1EHaXrUdJH7sol90pi72J7,Prince Herzel,0,52
47ftODmhIR57fLTbcacgYC,Jacob George,1,216
17MU1jI8FK2mJtA2PXRRKN,Ryan Duarte,1,38
0LSpP5fKqBqxYU2fweqECU,The Parrothead All-Stars,1,164
0vkty1FvF8TGQfeN2oqsXi,Tyler Johnson,1,328
0SrWhJKqo5jxJymLSax0C3,Esco Bar,1,11
5TBrl50UvNcvaJ3KKHzjzk,1990's Karaoke Band,2,125
4PDRKshhxFTKpZLAI4pQnb,2000's Karaoke Band,2,94
10aVNpUB6sPjYjunSIIeq5,Trillville (Featuring Cutty),2,47
7xI9l2heJcFDlfzwUATUFr,American Idol Finalists - Season 4,2,1329
45po7XELMn2kmIGm0jZedi,Urban Beats,2,1514
6GaAodoP6zqw8FFZ6jHPZr,Melissa Lawson,2,163
4zrHRFEsaNADaUVHYyAGeP,Ameritz Karaoke Crew,2,94
5dxlqq9p682FXcj9tk1IQh,Chart Topping Karaoke,2,170
66u2Wis27rwgVu1dPS11IJ,NTLS,2,66
0oBrZOrMAGxxHikhpWTY1A,Newage 6.5,3,25
5MsxaYrbB91Qt5HBXAWQwa,Música Instrumental 7K,3,11
1owO30zTlA6ljRnDtw62UC,Burn,3,90
7KxGzuPekH2KvQkjKCvArV,prxmvc,3,269
