track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3lZpvPprN56RWqDqrKy9vl,0,0.532,3,-7.447,1,0,0.976,0,0,0,0,0
7rLDARtJALM7QdiJDMXW7m,0.25,0.215,8,-13.676,0,0.037,0.632,0.0717,0.401,0.0746,174.824,3
4TbNLKRLKlxZDlS0pu7Lsy,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,4
6LtHYDgYHRCHoKK3snfr2w,0.375,0.133,0,-10.624,0,0.0352,0.651,0,0.0695,0.192,131.721,4
60RFlt48hm0l4Fu0JoccOl,0.375,0.428,0,-7.387,1,0.029,0.109,0,0.105,0.361,78.516,4
23bEisUvcSmIELLy4CMhkN,0.375,0.75,5,-4.048,1,0.0328,0.345,9.15E-06,0.0943,0.565,178.636,3
0M3ZIWNcizkhYFvn6RuCEz,0.375,0.556,11,-7.196,1,0.041,0.4,0,0.0956,0.397,111.827,4
41RxdTltq3TM5AbOLHVR28,0.375,0.856,11,-6.113,0,0.078,5.31E-05,0.000682,0.238,0.672,117.112,4
3kXH9BQq0TyNliiP1MIE6N,0.5,0.748,0,-5.927,1,0.0364,0.00291,0,0.112,0.448,148.009,4
44Du2IM1bGY7dicmLfXbUs,0.5,0.449,0,-10.977,1,0.442,0.422,7.96E-06,0.115,0.104,144.206,1
7xoBJ4hih949Jeu5ZfzBai,0.5,0.9,2,-3.577,1,0.117,0.205,0.000251,0.694,0.675,162.249,4
0CfPMZ1DSdzglsMRpLDM2H,0.5,0.803,2,-4.591,1,0.032,0.11,2.12E-05,0.296,0.451,150.058,4
2gL2Pm7OJkk0X5neLyqiKB,0.5,0.609,3,-7.215,1,0.0326,0.0822,0.000255,0.341,0.562,145.88,4
3LlAyCYU26dvFZBDUIMb7a,0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.329,0.419,89.929,4
06Zz2l7cVTCTgCNDe1bnEF,0.5,0.899,4,-4.066,1,0.0736,4.84E-05,0.000198,0.0794,0.566,130.06,4
2sXydP9vPEYUH4uAWotuGu,0.5,0.638,6,-4.007,0,0.0756,0.66,0,0.366,0.698,81.145,4
7hiM6KgXyAts8YXxNu9G9y,0.5,0.723,7,-4.33,1,0.0292,0.00197,0,0.0661,0.369,155.849,3
550bzTUwGQIhotK33gVvEg,0.5,0.619,8,-5.939,1,0.0297,0.263,1.42E-05,0.107,0.569,145.367,4
7vOjTY220BqIttYDbwshED,0.5,0.889,11,-4.541,1,0.0676,0.0014,0,0.0781,0.428,132.713,4
6tVwi09OwB7zVYV0NUajeP,0.5,0.847,11,-4.223,1,0.0416,0.00123,0,0.0875,0.715,125.966,4
1GwVi2ceNb8dMFA3DZGnnY,0.5,0.845,1,-5.015,1,0.0369,0.00184,0,0.106,0.539,95.199,4
71d7LaAgPcNcUopu3OzmP7,0.5,0.767,1,-4.105,1,0.403,0.161,9.95E-05,0.385,0.58,159.477,4
0IktbUcnAGrvD03AWnz3Q8,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4
0nJZDtAaqO7o9mb6YoBfqO,0.625,0.591,0,-5.548,0,0.0369,0.0391,0,0.254,0.192,86.074,4
6tbNaE7kvGNqS7FvJ0dzLB,0.625,0.569,0,-5.954,1,0.0271,0.26,0,0.127,0.361,149.987,4
52eIcoLUM25zbQupAZYoFh,0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,4
5OusUgzHz6Ulb3GZT7WUo5,0.625,0.848,2,-4.008,1,0.0314,0.105,0,0.23,0.716,137.993,4
4vqoRCLuNYACHsvZieX0fR,0.625,0.936,2,-3.014,1,0.0929,0.0457,0,0.0402,0.804,144.01,4
