track_id,name,duration_ms,release_date,album_type,explicit
5CMVGP24paZIukljDj0iWc,Jingle Bells (with The Ken Lane Singers),156666,1945,compilation,False
25leEEaz1gIpp7o21Fqyjo,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,150266,1947,album,False
1dtIaSlyrLI04sqYa8nLyN,Rudolph the Red-Nosed Reindeer,186733,1947,album,False
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),192160,1962,album,False
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),192160,1962,album,False
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),192160,1962,album,False
5ASM6Qjiav2xPe7gRkQMsQ,Sleigh Ride,181266,1963,compilation,False
46pF1zFimM582ss1PrMy68,Christmas (Baby Please Come Home),166453,1963,compilation,False
7uyivkbdc8iH8wyBGBhlXV,One More Chance,229000,1979,compilation,False
2uX5f3x2cObov0iDAPln4o,Song of the South,190800,1980,album,False
0Q2b6AxWV5tD117XktdQxl,Heaven - Live,221000,1984,album,False
4S1VYqwfkLit9mKVY3MXoo,Forever Young,226706,1984,album,False
57P8gH8rjt4OqEoqzut1bL,Round and Round,265893,1984,album,False
4S1VYqwfkLit9mKVY3MXoo,Forever Young,226706,1984,album,False
3sGfVqsXBflIQEbRhyztWC,Why Don't You Do Right?,187266,1988,compilation,False
7BaxYnTazocAOK3istsW1z,You're Not The Only One I Know,230167,1990,album,False
7LvK43IERbcLsuabmyKQgi,Beautiful Mess,227920,1991,compilation,False
2EoIt9vdgFRNW03u5IvFsQ,Achy Breaky Heart,203373,1992,album,False
0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,201173,1993,album,False
0YwUJOHKYxlm5gVfIkl8Ym,Best Friend,288840,1994,album,False
2CVJECHIdpe8otFH0XFI4F,My Front Porch Looking In,223573,1995,compilation,False
5zmaypMaWb21FUGBxbw8hT,Black Balloon,249533,1998,album,False
7MQywXGHEev7JmwwIzMcao,Love Like This,275706,1998,album,False
0RZuCBV900eNA2FXCQ3uUM,Broadway,238533,1998,album,False
0hltBiPrw06vWjtadBn6oe,Babylon,265640,1998,album,False
7MQywXGHEev7JmwwIzMcao,Love Like This,275706,1998,album,False
6Qyc6fS4DsZjB2mRW9DsQs,Iris,289533,1998,album,False
0LWINYMC4s8QTdDSb1B3Q3,Hanginaround,247333,1999,album,False
1yKDl9K9lrbIFSpPBzEQtb,Shake Your Bon-Bon,192333,1999,album,False
6qc34bnVOyqGDPni8H5W0U,Amazed,240866,1999,album,False
1aDoyG4LiKT3o4ZrQK1auW,Smile,213760,1999,album,False
3Th5HBAlRZF0oN31ubxHA9,"Live, Laugh, Love",246266,1999,album,False
1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,237240,1999,album,False
1rjHJSGgt10GAtgLrDtHTM,Private Emotion (feat. Meja),241000,1999,album,False
2aJpRgyHYENSWWCHl1stQz,Can't Stay,377400,1999,album,False
6RUa3ZwZYnJnNgZxtIYJR9,Purest of Pain (A Puro Dolor) - Martinee's Radio (Spanish),247480,1999,single,False
4Do68W4FWO2hRAJCzG1lus,I Turn to You,273706,1999,album,False
68AhslXGVDKUUyHnDkORGF,The Chain of Love,304506,1999,album,False
1xK2NkwOfT8qZYWPossXGz,What About Now,210000,1999,album,False
6wNwHBUjsessjRioNVFbaO,Sour Girl,256253,1999,album,False
7A0apkTSTvMbSI7yplcmlh,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,album,False
06iQLLK93Dlv7RcvzmZo2g,Deep Inside of You - 2008 Remaster,250533,1999,album,False
53z0hOqr2yeSj3ZqCdiYNg,Crazy for This Girl,202026,1999,album,False
2ilHi6l6v8ABpLIL67jT3H,Tell Her,207560,1999,album,False
7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,261933,2000,album,False
21DyCPJqQ8tzFCHJYX9Koz,I Belong To You,257066,2000,compilation,False
7JKEA8xYDoFp4q0QBW2PGg,Shackles (Praise You),198346,2000,album,False
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,233933,2000,album,False
1PrZOkFxJqTZAH8P3x87hW,Yes!,206733,2000,album,False
3CY7wjLc1CaAIrp9buEWhG,Simple Kind Of Life,256933,2000,album,False
1H5tvpoApNDxvxDexoaAUo,Who Let The Dogs Out,198400,2000,album,False
6kD36kVRn5leDDbjXpHQY0,Just Be A Man About It,288933,2000,album,False
1C2Q3AymKS17bw7T5gfq6p,Dance with Me,220106,2000,album,False
1rj0XawWJNisX7SGYexowJ,Gotta Tell You,200160,2000,album,False
1uPrIHgYztXSkkcts9jet8,She Bangs - English Version,280626,2000,album,False
1aC1IBAETh2XYGOE8kCC6t,Loser,264800,2000,album,False
76gLq1wvQSFxR0tP4rgVKS,My Love Goes On And On,185333,2000,album,False
1ieouFxB2A3JjKEt1OoEiB,Spanish Guitar,289000,2000,album,False
0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,216066,2000,album,False
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,157333,2000,album,False
0Tl84qfow6Dv0PM60zoBhb,La Bomba,123960,2000,album,False
514AneEN1C63hmnVNC4dLJ,Baby Come On Over (This Is Our Night),212866,2000,album,False
4tgeQrPu5xkrnwErym2JsJ,Here's to the Night,249840,2000,album,False
1uPrIHgYztXSkkcts9jet8,She Bangs - English Version,280626,2000,album,False
7ktlRGfo8wQaruyZD8xCii,Laredo,230063,2000,album,False
3PbHle8KhJp6GuO1jLdEmQ,Be Like That,265906,2000,album,False
57BrRMwf9LrcmuOsyGilwr,Crawling,208960,2000,album,False
60a0Rd6pjrkxjPbaKzXjfq,In the End,216880,2000,album,False
1Jsy4H3jKEwriFniuoC2gj,"I Breathe In, I Breathe Out",244600,2000,album,False
6xxXrNJnnsQNLdgNk8S4y8,Hate To Say I Told You So,199759,2000,album,False
2ozJmnjqCMJavEKoHqiou0,He Loves You Not,226666,2001,album,False
769geiA8btidGHda4BBDOJ,It's Over Now,264933,2001,album,False
2Pxzfzd1jaZT2F2uqLkZUr,Liquid Dreams,210400,2001,album,False
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,307153,2001,album,False
2enprHJA0siL33w7TaN7VH,Pour Me,172000,2001,album,False
0xikWgPgYN9BEes0ieZ8Co,Heard It All Before,295826,2001,album,False
3zjLEJ6EPYJHZRtWGMhMSJ,She Couldn't Change Me,260133,2001,album,False
2423gyT9B3zNqC9ZD8QfSu,Can't Believe (feat. Carl Thomas),300160,2001,album,False
1s8MNZEUhMRlCJiFzHCkTY,This Is Me,192493,2001,album,False
1TBIHWmr1r34J2s0eSfA7U,All or Nothing,281426,2001,album,False
4ukCThz76ZkKJzTlmDlKpa,On a Night Like This,210426,2001,album,False
1PUNthIXityeZlnRLcP7JI,AM To PM,231213,2001,album,False
6uRH1qMz30ZBwwUG0IYE5s,Dance With Me,231800,2001,album,False
61kG6g3btiapbSVEj3D0Hb,You Gets No Love (feat. P. Diddy & Loon),241400,2001,album,False
02jcEwywffn3Tsb48fXmlW,Get the Party Started,192533,2001,album,False
5QpaGzWp0hwB5faV8dkbAz,Wherever You Will Go,208600,2001,album,False
5dpAN1mjFPL38kh9kWsCiw,Wasting My Time,269306,2001,album,False
6gsmFgUiSTuinJlScwFODv,I Love You,267160,2001,album,False
1PJRDeZSoZk7gtisdTYfLi,Crawling In The Dark,175226,2001,album,False
1BfRdnfPYrni7zj4ANodBX,Don't Let Me Get Me - Radio Edit,210693,2001,album,False
1nu7ec0zCNvyHRrFXZsFHy,Song for the Lonely,202600,2001,album,False
6GdX30E1389PWOcayiiPQE,Take Ya Home,239786,2001,album,False
6xdSzlVVKW3fQidPxBImTG,Running Away,178440,2001,album,False
4xYQVaR2wQoS6xz0SSa5Ys,Something,220973,2001,album,False
6VD5vEK2wVfTG7q84pJ6EO,Family Portrait,296960,2001,album,False
1G5S1rEr4L57ftizRHcYDP,I Can Only Imagine,248253,2001,album,False
5TINskHXiPUY4YEJZVcyuG,Alone,241040,2001,album,False
6hv4MN2Knt4Zk2EyeCJ1pb,Every Move I Make,190400,2001,album,False
1G5S1rEr4L57ftizRHcYDP,I Can Only Imagine,248253,2001,album,False
1foCxQtxBweJtZmdxhEHVO,Santa Baby (with Henri René & His Orchestra),206066,2002,album,False
1tTZM7LUDkxcykOVVIGW4W,Where The Stars And Stripes And The Eagle Fly,228200,2002,album,False
2nBY2iQvxOIXrdlJvg7ZPo,Uh Huh,223293,2002,album,False
63MKNIWCCxtqnehwFhmYqp,Gots Ta Be,321200,2002,album,False
0hJPZ0v8QxRwGIKiMGKE1G,Take A Message,243866,2002,album,False
2LrvK045zLQyt4s9n1QSBA,Someone To Love You,297360,2002,album,False
2RLpFEf6d0708O7Bqhjyxg,Days Go By,432146,2002,album,False
4OnTgDqnuFGU73TdKQuDZm,Day & Night (feat. Jadakiss) - Remix,229466,2002,album,False
5ntkgBVRkW8BZ1cr0acKLD,Single For The Rest Of My Life,235733,2002,album,False
0fPBKo78nKsbIla2ExeefC,Why I Love You,240640,2002,album,False
1gyee1JuFFiP476LQpRMYU,The Red,238400,2002,album,False
6NvRxjfYkkT2SpirAlmsjH,No One Knows,278706,2002,album,False
0KqyBk4aVT88TEqBIC8mAP,Girl All the Bad Guys Want,197800,2002,album,False
6dRAAG4sB71NAtVCHJep7s,Send the Pain Below,252360,2002,album,False
6ECp64rv50XVz93WvxXMGF,This Love,206200,2002,album,False
5qII2n90lVdPDcgXEEVHNy,Sunday Morning,244880,2002,album,False
5XMjXjwCkJVmk0AHm7z8IV,Jerk It Out,195666,2002,album,False
